from	to	type
00410e59	00470654	DATA
00410e60	00470654	READ
00410e61	00470658	READ
00410e62	0047065c	READ
00410e64	00470654	DATA
00410e6e	00470654	READ
00410e6e	00470655	READ
00410e74	006366a4	READ
00410e7c	00470660	DATA
00410e83	00470660	READ
00410e84	00470664	READ
00410e85	00470668	READ
00410e87	00470660	DATA
00410e91	00470660	READ
00410e91	00470661	READ
00410e97	006366a4	READ
00410e9f	0047066c	DATA
00410ea6	0047066c	READ
00410ea7	00470670	READ
00410ea8	00470674	READ
00410eaa	00470676	READ
00410eab	0047066c	DATA
00410eb5	0047066c	READ
00410eb5	0047066d	READ
00410ebb	006366a4	READ
00410ec3	00470678	DATA
00410eca	00470678	READ
00410ecb	0047067c	READ
00410ecc	00470680	READ
00410ecd	00470684	READ
00410ecf	00470678	DATA
00410ed9	00470678	READ
00410ed9	00470679	READ
00410edf	006366a4	READ
00410ee7	00470688	DATA
00410eee	00470688	READ
00410eef	0047068c	READ
00410ef0	00470690	READ
00410ef1	00470694	READ
00410ef3	00470688	DATA
00410efd	00470688	READ
00410efd	00470689	READ
00410f05	006366a4	READ
00410f0b	00470698	DATA
00410f12	00470698	READ
00410f13	0047069c	READ
00410f14	004706a0	READ
00410f15	004706a4	READ
00410f17	004706a6	READ
00410f18	00470698	DATA
00410f22	00470698	READ
00410f22	00470699	READ
00410f28	006366a4	READ
00410f30	004706a8	DATA
00410f37	004706a8	READ
00410f38	004706ac	READ
00410f39	004706b0	READ
00410f3a	004706b4	READ
00410f3c	004706b6	READ
00410f3d	004706a8	DATA
00410f47	004706a8	READ
00410f47	004706a9	READ
00410f4d	006366a4	READ
00410f55	004706b8	DATA
00410f5c	004706b8	READ
00410f5d	004706bc	READ
00410f5e	004706c0	READ
00410f5f	004706b8	DATA
00410f69	004706b8	READ
00410f69	004706b9	READ
00410f6f	006366a4	READ
00410f77	004706c4	DATA
00410f7e	004706c4	READ
00410f7f	004706c8	READ
00410f80	004706cc	READ
00410f81	004706c4	DATA
00410f90	004706c4	READ
00410f90	004706c5	READ
00410f9a	0045f1ff	UNCONDITIONAL_CALL
00410f9f	006366b4	WRITE
00410fa6	00410fb2	CONDITIONAL_JUMP
00410fa8	004706d0	DATA
00410fad	00414e68	UNCONDITIONAL_CALL
00410fb2	006366b4	READ
00410fbd	004706fc	DATA
00410fc2	Stack[-0x1c]	WRITE
00410fc7	004706fc	READ
00410fc7	004706fe	READ
00410fcd	00410fdf	CONDITIONAL_JUMP
00410fcf	004706fd	READ
00410fcf	004706ff	READ
00410fdd	00410fc7	CONDITIONAL_JUMP
00410fe0	004706fc	DATA
00410fea	004706fc	READ
00410fea	004706fd	READ
00410fef	Stack[-0x1c]	READ
00410ff4	006366b4	READ
00410ffc	00470700	DATA
00411003	Stack[-0x1c]	WRITE
00411008	00470700	READ
00411008	00470702	READ
0041100e	00411020	CONDITIONAL_JUMP
00411010	00470701	READ
00411010	00470703	READ
0041101e	00411008	CONDITIONAL_JUMP
00411021	00470700	DATA
0041102b	00470700	READ
0041102b	00470701	READ
00411030	Stack[-0x1c]	READ
00411035	006366b4	READ
0041103d	00470708	DATA
00411044	Stack[-0x1c]	WRITE
00411049	00470708	READ
00411049	0047070a	READ
0041104f	00411061	CONDITIONAL_JUMP
00411051	00470709	READ
00411051	0047070b	READ
0041105f	00411049	CONDITIONAL_JUMP
00411062	00470708	DATA
0041106c	00470708	READ
0041106c	00470709	READ
00411071	Stack[-0x1c]	READ
00411078	006366b4	READ
0041107e	Stack[-0x1c]	WRITE
00411084	0047070c	DATA
0041108a	0047070c	READ
0041108a	0047070e	READ
00411090	004110a2	CONDITIONAL_JUMP
00411092	0047070d	READ
00411092	0047070f	READ
004110a0	0041108a	CONDITIONAL_JUMP
004110a3	0047070c	DATA
004110ad	0047070c	READ
004110ad	0047070d	READ
004110b2	Stack[-0x1c]	READ
004110b9	Stack[-0x1c]	WRITE
004110bd	006366b4	READ
004110c3	00470710	DATA
004110cb	00470710	READ
004110cb	00470712	READ
004110d1	004110e3	CONDITIONAL_JUMP
004110d3	00470711	READ
004110d3	00470713	READ
004110e1	004110cb	CONDITIONAL_JUMP
004110e4	00470710	DATA
004110ee	00470710	READ
004110ee	00470711	READ
004110f3	Stack[-0x1c]	READ
004110f8	006366b4	READ
00411100	00470718	DATA
00411107	Stack[-0x1c]	WRITE
0041110c	00470718	READ
0041110c	0047071a	READ
00411112	00411124	CONDITIONAL_JUMP
00411114	00470719	READ
00411114	0047071b	READ
00411122	0041110c	CONDITIONAL_JUMP
00411125	00470718	DATA
0041112f	00470718	READ
0041112f	00470719	READ
00411134	Stack[-0x1c]	READ
0041113b	006366b4	READ
00411141	Stack[-0x1c]	WRITE
00411147	00470724	DATA
0041114d	00470724	READ
0041114d	00470726	READ
00411153	00411165	CONDITIONAL_JUMP
00411155	00470725	READ
00411155	00470727	READ
00411163	0041114d	CONDITIONAL_JUMP
00411166	00470724	DATA
00411170	00470724	READ
00411170	00470725	READ
00411175	Stack[-0x1c]	READ
0041117a	006366b4	READ
00411182	00470730	DATA
00411189	Stack[-0x1c]	WRITE
0041118e	00470730	READ
0041118e	00470732	READ
00411194	004111a6	CONDITIONAL_JUMP
00411196	00470731	READ
00411196	00470733	READ
004111a4	0041118e	CONDITIONAL_JUMP
004111a7	00470730	DATA
004111b1	00470730	READ
004111b1	00470731	READ
004111b6	Stack[-0x1c]	READ
004111bd	Stack[-0x1c]	WRITE
004111c1	006366b4	READ
004111c7	00470738	DATA
004111cf	00470738	READ
004111cf	0047073a	READ
004111d5	004111e7	CONDITIONAL_JUMP
004111d7	00470739	READ
004111d7	0047073b	READ
004111e5	004111cf	CONDITIONAL_JUMP
004111e8	00470738	DATA
004111f2	00470738	READ
004111f2	00470739	READ
004111f7	Stack[-0x1c]	READ
004111fe	006366b4	READ
00411204	Stack[-0x1c]	WRITE
0041120a	00470740	DATA
00411210	00470740	READ
00411210	00470742	READ
00411216	00411228	CONDITIONAL_JUMP
00411218	00470741	READ
00411218	00470743	READ
00411226	00411210	CONDITIONAL_JUMP
00411229	00470740	DATA
00411233	00470740	READ
00411233	00470741	READ
00411238	Stack[-0x1c]	READ
0041123d	006366b4	READ
00411245	00470748	DATA
